 YEAR, RECON
1969,-0.949
1970,-0.298
1971,-0.182
1972,0.571
1973,1.618
1974,1.722
1975,2.226
1976,-0.353
1977,-3.053
1978,0.883
1979,1.74
1980,0.325
1981,-0.779
1982,0.528
1983,-0.076
1984,1.468
1985,-1.023
1986,-2.062
1987,-1.207
1988,-2.177
1989,2.001
1990,0.123
1991,-1.362
1992,0.374
1993,-1.346
1994,0.983
1995,0.368
1996,2.04
1997,1.076
1998,-0.069
1999,-3.137
2000,0.694
2001,-0.332
2002,-1.644
2003,3.746
